ID,damage_grade,Usage
302583,4.0,Public
40027,4.0,Public
47160,4.0,Public
352809,4.0,Private
232696,3.0,Public
289982,4.0,Public
68000,4.0,Private
323422,5.0,Public
309358,1.0,Private
131929,5.0,Public
373271,3.0,Private
263599,2.0,Public
124651,4.0,Public
166325,4.0,Private
172770,4.0,Private
369920,3.0,Private
59758,4.0,Private
174480,4.0,Private
210937,4.0,Public
200958,4.0,Private
5321,4.0,Private
199334,4.0,Public
15425,3.0,Private
103294,4.0,Public
382850,5.0,Private
110811,5.0,Private
57142,3.0,Private
14009,5.0,Private
288281,5.0,Public
247470,5.0,Private
373428,1.0,Private
181183,4.0,Private
314506,3.0,Private
54006,5.0,Private
192149,1.0,Private
109666,5.0,Private
271772,4.0,Public
243334,5.0,Private
297004,2.0,Private
148636,2.0,Private
33825,4.0,Public
380867,5.0,Private
38703,5.0,Private
245229,5.0,Public
113368,4.0,Private
50213,2.0,Private
299826,3.0,Private
288147,4.0,Public
293555,5.0,Public
286131,4.0,Private
65416,4.0,Private
124150,4.0,Private
59807,5.0,Private
289026,3.0,Private
293193,3.0,Private
288950,3.0,Private
50168,1.0,Private
336364,4.0,Public
339437,2.0,Private
144874,5.0,Private
103921,4.0,Private
386162,3.0,Public
211089,5.0,Private
111946,5.0,Private
161705,5.0,Private
9040,4.0,Private
351384,4.0,Private
232215,2.0,Public
84802,2.0,Private
143497,5.0,Public
212421,5.0,Private
30484,5.0,Public
42459,5.0,Public
75917,4.0,Private
5272,5.0,Private
196733,1.0,Private
143108,1.0,Public
176483,3.0,Private
356194,3.0,Private
245008,3.0,Private
44338,4.0,Public
87561,5.0,Private
339545,4.0,Public
143666,1.0,Public
285063,5.0,Private
254825,5.0,Private
124918,5.0,Private
316651,3.0,Private
50520,4.0,Private
76038,2.0,Private
254412,1.0,Private
79808,3.0,Public
266614,3.0,Public
125974,1.0,Private
272512,2.0,Private
342052,5.0,Private
111445,5.0,Private
22746,3.0,Private
299293,4.0,Private
123533,3.0,Private
39265,4.0,Public
34773,5.0,Private
123819,5.0,Public
142614,4.0,Private
369550,4.0,Private
125106,5.0,Private
182406,1.0,Public
256179,5.0,Private
274336,5.0,Private
233490,5.0,Private
343348,5.0,Private
53991,4.0,Private
18672,5.0,Private
160366,2.0,Private
358848,4.0,Private
23346,5.0,Private
172465,4.0,Private
212850,4.0,Private
90952,4.0,Private
55797,5.0,Private
69265,2.0,Private
38034,4.0,Private
249723,5.0,Public
305754,5.0,Public
267781,5.0,Public
236680,3.0,Public
226261,5.0,Private
281803,4.0,Public
192390,5.0,Private
250952,3.0,Public
89784,5.0,Public
144475,3.0,Private
74861,5.0,Private
11304,5.0,Private
325155,3.0,Private
247823,1.0,Private
164601,3.0,Private
202481,4.0,Private
366923,4.0,Private
232485,5.0,Public
215134,3.0,Public
256683,5.0,Private
87185,5.0,Private
98604,5.0,Private
302521,4.0,Public
225677,3.0,Private
46582,3.0,Public
225480,5.0,Private
187800,3.0,Private
73030,5.0,Private
250300,5.0,Public
262650,2.0,Public
248821,3.0,Private
279042,5.0,Private
377157,2.0,Public
243335,3.0,Private
49093,4.0,Public
6978,4.0,Private
212250,3.0,Private
109757,3.0,Private
82316,4.0,Private
148166,4.0,Public
11990,3.0,Private
199891,3.0,Private
12572,5.0,Private
22937,3.0,Public
132697,1.0,Private
432,5.0,Private
146741,5.0,Private
235121,5.0,Public
149794,5.0,Public
292012,3.0,Public
43239,5.0,Private
181510,3.0,Private
297379,1.0,Private
207721,1.0,Private
33225,2.0,Private
30717,1.0,Private
198134,5.0,Public
380546,4.0,Private
339205,5.0,Private
5001,5.0,Public
36330,5.0,Private
247967,5.0,Public
170,2.0,Private
174231,5.0,Private
280342,5.0,Private
8740,3.0,Public
48877,5.0,Private
329421,2.0,Private
51202,4.0,Private
251214,5.0,Private
256315,5.0,Private
156514,5.0,Private
156433,5.0,Private
288800,1.0,Public
167956,4.0,Private
347593,2.0,Public
52783,4.0,Private
260719,5.0,Private
44521,4.0,Private
157143,3.0,Private
125492,3.0,Private
59895,4.0,Public
155810,5.0,Private
25405,5.0,Public
234201,1.0,Public
113393,4.0,Private
307529,2.0,Private
78289,4.0,Public
62960,5.0,Private
208472,3.0,Public
320209,5.0,Private
86864,3.0,Private
94922,3.0,Private
177361,5.0,Public
115155,4.0,Private
13957,2.0,Private
379241,2.0,Public
320931,3.0,Private
348348,5.0,Public
307980,1.0,Public
138797,1.0,Public
221718,3.0,Private
264226,4.0,Private
66966,5.0,Public
163491,5.0,Public
318615,2.0,Private
70908,1.0,Private
149229,5.0,Private
222524,3.0,Private
205848,5.0,Private
93575,1.0,Public
349718,5.0,Private
148502,4.0,Private
232231,1.0,Public
127015,1.0,Private
89331,5.0,Private
250476,5.0,Private
233484,3.0,Private
169001,2.0,Private
238416,3.0,Public
195305,1.0,Public
62106,1.0,Private
22437,5.0,Public
321087,4.0,Public
273291,3.0,Private
87014,3.0,Private
259803,5.0,Private
130901,4.0,Private
61570,5.0,Public
219030,4.0,Private
80913,2.0,Private
38866,5.0,Private
90381,1.0,Private
187213,2.0,Private
91148,3.0,Private
385286,4.0,Public
76833,1.0,Private
98544,2.0,Private
17595,5.0,Private
142025,3.0,Private
356451,1.0,Private
176276,1.0,Private
110548,4.0,Private
304948,4.0,Private
215790,1.0,Private
202590,3.0,Private
182925,5.0,Private
365010,5.0,Public
241266,1.0,Private
21014,4.0,Private
283575,1.0,Public
95653,2.0,Private
353558,5.0,Public
160318,5.0,Private
17883,3.0,Private
194480,1.0,Private
184638,5.0,Private
218007,4.0,Private
125354,5.0,Public
247410,4.0,Public
379614,5.0,Private
46132,5.0,Private
66014,5.0,Private
25033,3.0,Private
150969,2.0,Public
11449,4.0,Public
90624,5.0,Private
7173,5.0,Private
187705,2.0,Private
263187,1.0,Public
251488,5.0,Public
253528,5.0,Private
59359,2.0,Public
231670,4.0,Private
122760,5.0,Private
322145,3.0,Private
386733,3.0,Public
166097,5.0,Private
201150,4.0,Private
134199,2.0,Private
43393,5.0,Private
298061,2.0,Private
193510,5.0,Private
79933,5.0,Private
341698,4.0,Private
232473,3.0,Private
96499,3.0,Private
310840,1.0,Public
129840,1.0,Private
276488,2.0,Private
142697,2.0,Public
164575,1.0,Public
52852,2.0,Private
184992,2.0,Public
145970,3.0,Public
308506,2.0,Private
247269,4.0,Private
92780,5.0,Private
156414,2.0,Public
24557,5.0,Private
42455,3.0,Private
62550,2.0,Private
244046,2.0,Public
106366,4.0,Private
188446,2.0,Private
8423,4.0,Private
274238,4.0,Private
361462,5.0,Private
334899,1.0,Private
307531,2.0,Private
111282,2.0,Private
265824,5.0,Private
54644,5.0,Public
186095,4.0,Private
277180,5.0,Private
94718,3.0,Public
243118,4.0,Private
269161,2.0,Private
113433,5.0,Public
25687,4.0,Private
302981,5.0,Private
301486,4.0,Private
135083,2.0,Public
352680,5.0,Private
126445,2.0,Private
38321,4.0,Public
234521,1.0,Private
206821,4.0,Public
305659,3.0,Public
170059,5.0,Private
360187,2.0,Private
25244,1.0,Private
264983,2.0,Private
339624,3.0,Public
35940,4.0,Private
258578,3.0,Public
156241,5.0,Private
300716,2.0,Public
44939,5.0,Private
242477,3.0,Private
84534,5.0,Private
305338,1.0,Public
240135,5.0,Public
230499,1.0,Private
383500,3.0,Public
6165,2.0,Private
167621,5.0,Private
159868,1.0,Private
210741,5.0,Public
164611,5.0,Private
340063,3.0,Public
360903,5.0,Private
356382,2.0,Public
211849,4.0,Private
367761,5.0,Private
227561,4.0,Private
103251,3.0,Private
237251,2.0,Private
269058,1.0,Private
35864,3.0,Public
300921,5.0,Private
359747,5.0,Private
189932,4.0,Public
111427,5.0,Private
7999,4.0,Public
228799,1.0,Private
85006,5.0,Public
169953,4.0,Private
105045,5.0,Private
98521,3.0,Private
357117,5.0,Private
358244,3.0,Private
66242,5.0,Private
96192,3.0,Public
259471,5.0,Private
176758,2.0,Private
140637,5.0,Private
140136,5.0,Private
60127,2.0,Public
359884,5.0,Private
361101,5.0,Public
384091,5.0,Private
127112,4.0,Public
363932,2.0,Private
166413,3.0,Public
238567,4.0,Private
109573,4.0,Private
332895,5.0,Private
252105,5.0,Public
229924,1.0,Private
221389,5.0,Private
150187,5.0,Public
386527,2.0,Private
308453,5.0,Private
310979,4.0,Private
283688,3.0,Private
132700,5.0,Public
161659,4.0,Private
217045,5.0,Private
88167,1.0,Private
57048,2.0,Private
275659,3.0,Private
141403,5.0,Public
305461,5.0,Public
82395,1.0,Public
246268,5.0,Private
337461,1.0,Public
281507,1.0,Public
209654,1.0,Private
47488,5.0,Private
357750,5.0,Private
82644,1.0,Private
17781,4.0,Private
318328,4.0,Private
237834,4.0,Public
820,3.0,Private
24975,1.0,Private
134009,3.0,Private
289535,3.0,Public
115713,1.0,Private
230545,4.0,Public
252021,5.0,Public
14189,5.0,Private
36404,2.0,Private
38986,4.0,Private
269110,5.0,Public
133848,4.0,Private
94429,2.0,Public
258031,1.0,Private
340724,5.0,Public
178329,5.0,Public
197524,3.0,Private
19324,4.0,Private
248879,3.0,Private
266601,2.0,Public
66617,4.0,Private
361077,5.0,Private
259147,3.0,Private
208822,3.0,Public
231210,2.0,Private
91217,4.0,Private
79639,1.0,Private
34844,4.0,Public
163821,4.0,Private
45848,4.0,Public
334218,5.0,Private
176734,2.0,Public
385348,2.0,Public
101308,5.0,Private
210532,4.0,Private
322186,1.0,Private
14086,5.0,Public
289874,5.0,Private
261439,5.0,Private
191962,4.0,Private
192711,4.0,Public
61150,5.0,Public
53947,5.0,Private
50472,1.0,Public
212840,5.0,Private
189444,2.0,Private
153987,1.0,Private
366204,4.0,Private
21860,2.0,Private
97249,2.0,Private
169314,3.0,Public
165340,5.0,Private
199546,5.0,Public
71183,4.0,Private
184283,5.0,Private
361779,1.0,Private
71063,4.0,Public
212162,1.0,Public
156349,3.0,Public
349635,5.0,Private
146990,4.0,Private
31839,5.0,Private
119119,2.0,Private
244730,1.0,Public
68828,5.0,Private
119689,3.0,Public
11485,5.0,Private
227101,5.0,Private
360410,4.0,Private
370980,1.0,Public
139722,1.0,Private
299392,5.0,Private
237927,3.0,Private
207766,4.0,Private
296459,3.0,Private
124947,4.0,Private
278749,5.0,Private
240846,4.0,Private
222701,5.0,Private
270043,2.0,Private
187608,3.0,Private
159971,3.0,Public
211996,5.0,Public
188777,5.0,Public
127633,5.0,Private
30525,5.0,Private
323249,5.0,Public
133947,4.0,Private
372861,4.0,Public
272084,1.0,Private
304473,3.0,Private
168921,5.0,Private
246013,5.0,Private
291331,4.0,Private
285313,4.0,Private
118287,5.0,Private
22985,5.0,Public
327943,3.0,Public
224524,3.0,Private
247647,3.0,Public
51940,2.0,Public
261671,2.0,Private
171577,1.0,Private
217665,4.0,Public
320740,3.0,Private
170139,1.0,Private
233403,4.0,Public
108144,5.0,Private
280512,5.0,Public
372600,1.0,Private
203760,3.0,Private
205892,5.0,Private
88631,3.0,Private
37192,5.0,Public
89083,3.0,Public
13042,4.0,Public
134485,5.0,Public
30585,3.0,Private
312504,5.0,Public
236355,3.0,Public
78121,5.0,Private
136345,4.0,Private
264037,5.0,Private
312950,4.0,Private
9458,4.0,Private
310341,3.0,Private
98904,5.0,Private
171596,4.0,Private
69560,5.0,Private
226230,1.0,Private
252736,4.0,Private
142278,5.0,Private
299885,5.0,Private
297416,5.0,Private
192967,5.0,Public
241945,2.0,Private
297788,4.0,Private
316611,1.0,Public
20618,1.0,Private
17686,3.0,Public
228783,5.0,Public
91114,4.0,Private
98660,5.0,Private
311522,4.0,Private
310355,4.0,Private
193422,4.0,Private
341333,3.0,Private
148822,3.0,Private
377570,2.0,Private
242590,3.0,Private
211359,4.0,Public
261328,5.0,Public
225201,4.0,Private
365306,5.0,Private
132623,5.0,Private
29288,3.0,Public
331001,4.0,Private
157823,5.0,Public
159097,3.0,Private
385235,1.0,Public
199962,5.0,Private
43457,3.0,Public
207512,2.0,Public
149625,1.0,Private
165659,4.0,Private
340967,3.0,Private
82596,4.0,Private
117165,2.0,Private
129970,5.0,Public
106203,1.0,Private
117114,3.0,Private
106209,4.0,Private
29265,2.0,Public
211860,3.0,Private
284399,4.0,Private
113912,4.0,Private
366009,3.0,Public
239144,4.0,Private
369504,5.0,Public
41939,4.0,Public
119405,4.0,Public
205523,5.0,Private
285937,4.0,Private
213691,5.0,Private
168954,1.0,Private
375018,4.0,Private
26011,3.0,Private
312689,2.0,Public
178510,2.0,Public
318215,3.0,Private
329348,5.0,Private
385360,5.0,Private
297989,4.0,Private
188598,2.0,Public
119736,5.0,Private
100765,5.0,Private
50178,5.0,Public
59280,4.0,Public
79666,4.0,Public
259912,5.0,Public
172632,5.0,Public
384726,5.0,Public
275405,5.0,Public
135124,2.0,Private
378545,4.0,Public
210537,1.0,Private
112560,3.0,Private
16229,3.0,Private
304497,5.0,Private
295713,1.0,Private
225296,4.0,Private
150208,5.0,Public
379961,5.0,Private
80082,4.0,Public
104796,4.0,Private
293691,3.0,Public
45095,5.0,Private
8892,3.0,Private
360673,5.0,Public
140113,2.0,Public
112481,5.0,Public
73649,2.0,Private
145073,4.0,Private
94277,5.0,Private
343189,5.0,Public
122253,5.0,Private
211707,1.0,Public
143319,5.0,Private
78115,5.0,Public
345163,5.0,Private
209194,3.0,Public
34766,4.0,Private
310868,4.0,Public
204141,3.0,Private
270553,1.0,Private
86774,3.0,Private
34662,5.0,Public
94667,3.0,Private
1924,5.0,Private
381216,5.0,Private
146191,3.0,Private
269512,4.0,Private
38141,4.0,Public
339508,4.0,Private
53218,4.0,Private
334887,4.0,Private
178987,4.0,Private
220012,3.0,Public
45259,4.0,Private
118331,3.0,Private
102216,3.0,Private
254112,5.0,Private
308856,1.0,Public
48855,5.0,Private
7148,3.0,Private
209488,2.0,Public
257450,4.0,Private
374457,4.0,Public
314452,5.0,Private
2818,4.0,Private
229981,4.0,Public
57717,5.0,Private
70211,5.0,Private
31325,5.0,Private
370324,3.0,Private
223771,5.0,Private
15922,3.0,Private
197180,1.0,Public
150708,5.0,Private
258348,1.0,Private
335155,5.0,Private
155237,5.0,Public
237865,5.0,Private
124926,1.0,Public
223469,5.0,Public
221950,5.0,Public
60195,5.0,Private
187888,5.0,Private
244670,3.0,Private
241552,1.0,Public
291357,5.0,Private
135040,4.0,Private
386637,1.0,Private
327437,5.0,Public
51091,4.0,Private
129015,1.0,Private
249113,5.0,Private
174875,4.0,Private
14434,3.0,Public
62523,3.0,Public
24763,3.0,Private
89652,3.0,Public
187437,3.0,Private
363261,4.0,Public
175215,5.0,Public
149655,2.0,Private
261961,2.0,Public
33990,5.0,Public
171280,4.0,Private
35947,3.0,Public
348828,5.0,Private
360616,3.0,Private
199814,1.0,Private
341970,5.0,Public
371697,5.0,Private
293738,4.0,Private
369642,5.0,Private
118941,5.0,Public
347628,5.0,Private
158876,4.0,Private
362224,1.0,Private
282557,4.0,Private
74094,3.0,Public
94744,3.0,Public
190139,3.0,Public
202272,4.0,Private
187768,5.0,Public
47400,4.0,Public
183916,4.0,Private
326198,3.0,Private
335728,4.0,Private
203595,5.0,Private
328347,1.0,Private
269642,1.0,Private
201056,4.0,Public
379338,2.0,Private
302783,5.0,Private
10931,1.0,Public
113089,5.0,Public
271491,5.0,Public
274044,5.0,Public
81031,3.0,Public
186563,1.0,Private
97298,5.0,Private
277762,5.0,Private
303740,4.0,Private
294242,5.0,Private
251494,4.0,Private
218961,5.0,Public
87334,2.0,Public
246579,5.0,Public
338531,2.0,Private
281196,5.0,Private
3557,5.0,Private
105256,4.0,Private
217137,4.0,Private
283988,5.0,Private
117971,3.0,Private
210477,5.0,Public
314513,4.0,Private
82498,5.0,Private
238232,5.0,Private
76875,5.0,Private
72614,5.0,Private
192301,3.0,Private
184842,1.0,Private
74360,4.0,Public
216991,3.0,Private
114306,3.0,Private
265009,5.0,Public
65132,2.0,Private
255348,1.0,Private
164227,2.0,Private
177776,4.0,Private
165646,5.0,Public
375133,4.0,Private
52483,3.0,Private
235814,1.0,Private
379231,4.0,Private
120078,1.0,Private
81859,5.0,Public
165841,4.0,Public
162408,4.0,Private
233337,5.0,Private
172111,3.0,Private
234229,3.0,Private
232151,5.0,Private
289626,4.0,Public
327011,4.0,Private
347713,4.0,Public
263301,4.0,Private
6395,4.0,Private
287111,4.0,Private
329895,5.0,Public
122521,5.0,Private
32034,1.0,Private
223397,4.0,Public
63603,5.0,Private
354159,5.0,Private
329690,5.0,Private
146391,2.0,Private
327912,2.0,Private
364203,4.0,Private
317411,5.0,Public
140167,3.0,Private
103593,4.0,Private
280559,2.0,Private
10659,4.0,Private
20730,3.0,Private
187493,4.0,Private
120294,1.0,Private
98676,5.0,Private
272676,3.0,Public
370312,1.0,Private
50464,5.0,Public
368087,2.0,Private
199378,3.0,Private
73267,3.0,Public
203720,5.0,Private
113926,5.0,Private
28934,2.0,Public
368276,5.0,Private
73301,4.0,Public
286751,4.0,Private
386274,2.0,Public
14699,3.0,Public
1120,5.0,Public
224423,1.0,Private
53046,5.0,Public
124394,5.0,Private
226410,2.0,Private
167827,4.0,Private
81470,4.0,Private
320529,5.0,Private
55243,5.0,Private
205122,4.0,Private
119670,2.0,Public
47643,1.0,Private
96934,5.0,Private
119110,3.0,Private
223962,4.0,Public
74175,3.0,Private
221015,4.0,Private
265391,1.0,Private
193774,5.0,Public
303005,4.0,Private
97785,5.0,Public
174578,5.0,Private
151608,1.0,Private
191480,5.0,Private
152215,1.0,Public
321597,4.0,Public
223150,2.0,Private
260181,4.0,Private
342644,3.0,Private
51519,1.0,Private
321613,3.0,Private
36197,3.0,Private
369829,4.0,Public
338117,3.0,Public
215510,2.0,Private
59731,2.0,Public
88936,5.0,Private
270059,5.0,Public
2921,3.0,Private
55789,5.0,Public
70931,3.0,Private
193721,3.0,Public
142705,1.0,Private
140517,5.0,Private
281127,2.0,Public
267003,3.0,Private
325213,1.0,Private
159244,4.0,Public
252201,3.0,Public
272737,2.0,Private
58746,2.0,Private
167035,3.0,Private
339264,3.0,Public
77742,3.0,Private
288454,5.0,Public
64594,3.0,Public
112938,5.0,Public
10134,1.0,Private
25085,1.0,Private
368178,4.0,Private
67701,4.0,Public
58280,5.0,Public
111127,2.0,Private
381416,5.0,Private
222660,4.0,Private
29698,4.0,Private
56733,5.0,Public
21934,3.0,Public
42085,2.0,Public
64889,5.0,Private
1205,1.0,Private
152269,5.0,Private
34154,3.0,Public
284183,4.0,Private
378523,5.0,Private
252934,3.0,Public
270560,5.0,Private
285915,4.0,Private
44690,4.0,Private
155985,5.0,Private
377274,3.0,Private
13420,5.0,Private
227440,4.0,Private
104275,5.0,Private
206072,2.0,Private
342868,1.0,Private
193381,2.0,Private
110499,3.0,Public
271439,4.0,Private
152590,4.0,Public
53963,3.0,Private
69004,3.0,Private
104725,2.0,Private
228849,4.0,Public
108161,4.0,Public
9801,2.0,Private
107134,5.0,Public
245279,5.0,Private
65016,5.0,Private
44048,5.0,Private
209243,2.0,Private
344756,5.0,Private
32507,1.0,Private
352299,5.0,Private
97729,5.0,Public
62400,5.0,Private
11909,5.0,Public
348700,5.0,Private
78128,1.0,Public
312156,1.0,Private
336506,5.0,Public
266518,3.0,Public
83226,5.0,Public
329085,5.0,Private
275284,3.0,Private
16380,5.0,Public
242169,4.0,Private
6837,5.0,Public
299153,3.0,Private
190426,5.0,Public
67905,3.0,Private
213883,4.0,Private
191039,5.0,Public
90586,2.0,Public
204706,1.0,Private
56116,3.0,Private
315483,4.0,Private
208696,5.0,Private
18294,5.0,Private
173027,5.0,Private
311604,4.0,Private
283547,1.0,Public
232032,3.0,Private
88615,4.0,Private
229871,5.0,Private
177070,4.0,Private
148148,5.0,Private
